,area_id,hhid,persid,Gender,Age,Tripsnumberofchildren,Numberofadults,Numberofchildren,HHincome,Houseownership,Numberofcars,Surveyday,PTUSE,Destination,Parentscarlicence,Motherseducation,Fatherseducation,MothersJob,FathersJob,SI,HOME_asgs_name,MothersTripmode,trips_mode_1.2,trips_mode_1.3,trips_mode_1.4,TotalTravelTime,Totalwaittime,TotalDistance,HOME_sa4_name
0,20803118620,Y23H5220123,Y23H5220123P04,Female,10,2,2,2,3500,Being Purchased,0,Weekday,No,Education,2,No Study,No Study,Part-time Work,Full-time Work,2015.32959332058,Greater Melbourne,Walking,Walking,Vehicle Driver,Vehicle Driver,4.0,0.0,0.5932,Melbourne - Inner South
1,20803118620,Y23H5220123,Y23H5220123P03,Male,12,2,2,2,3500,Being Purchased,0,Weekday,No,Education,2,No Study,No Study,Part-time Work,Full-time Work,2015.32959332058,Greater Melbourne,Walking,Walking,Vehicle Driver,Vehicle Driver,4.0,0.0,0.5932,Melbourne - Inner South
2,20803118620,Y23H5220127,Y23H5220127P02,Male,14,4,1,1,2500,Being Purchased,0,Weekend,No,Buy Something,2,No Study,.,Unemployed,.,2015.32959332058,Greater Melbourne,Walking,Walking,Vehicle Driver,Vehicle Driver,68.0,0.0,39.86296,Melbourne - Inner South
3,20606113628,Y23H5220309,Y23H5220309P03,Female,16,4,2,1,7000,Fully Owned,1,Weekday,No,Education,2,No Study,No Study,Full-time Work,Full-time Work,6417.46559550695,Greater Melbourne,Walking,Walking,Vehicle Driver,Vehicle Driver,65.0,0.0,15.22644,Melbourne - Inner
4,20606113628,Y23H5220310,Y23H5220310P05,Male,11,2,2,4,3248,Being Purchased,1,Weekday,No,Education,2,No Study,No Study,Full-time Work,Full-time Work,6417.46559550695,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,38.0,0.0,14.02228,Melbourne - Inner
5,20606113628,Y23H5220310,Y23H5220310P03,Male,13,4,2,4,3248,Being Purchased,1,Weekday,Yes,Education,2,No Study,No Study,Full-time Work,Full-time Work,6417.46559550695,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,54.0,5.0,6.91748,Melbourne - Inner
6,20606113628,Y23H5220310,Y23H5220310P04,Male,13,3,2,4,3248,Being Purchased,1,Weekday,Yes,Education,2,No Study,No Study,Full-time Work,Full-time Work,6417.46559550695,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,39.0,1.0,9.96222,Melbourne - Inner
7,20602111001,Y23H5220424,Y23H5220424P03,Male,10,1,2,1,3500,Being Purchased,0,Weekday,No,At Home,2,No Study,.,Full-time Work,.,2743.4856518938,Greater Melbourne,Vehicle Driver,Vehicle Driver,Walking,Walking,4.0,0.0,0.64458,Melbourne - Inner
8,20602111001,Y23H5220424,Y23H5220424P02,Female,13,1,2,1,3500,Being Purchased,0,Weekday,No,At Home,2,No Study,.,Full-time Work,.,2743.4856518938,Greater Melbourne,Vehicle Driver,Vehicle Driver,Walking,Walking,4.0,0.0,0.64458,Melbourne - Inner
9,20602111001,Y23H5220427,Y23H5220427P04,Male,13,7,2,2,6000,Fully Owned,3,Weekend,No,Socail,2,No Study,No Study,Full-time Work,Part-time Work,2743.4856518938,Greater Melbourne,Vehicle Driver,Vehicle Driver,Walking,Walking,185.0,0.0,84.30567,Melbourne - Inner
10,20602111001,Y23H5220427,Y23H5220427P03,Female,16,4,2,2,6000,Fully Owned,3,Weekend,No,Social,2,No Study,No Study,Full-time Work,Part-time Work,2743.4856518938,Greater Melbourne,Vehicle Driver,Vehicle Driver,Walking,Walking,115.0,0.0,90.25318,Melbourne - Inner
11,20602111001,Y23H5220441,Y23H5220441P06,Female,10,2,2,4,11075,Fully Owned,3,Weekend,No,Social,2,No Study,No Study,Retired,Retired,2743.4856518938,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,20.0,0.0,6.65104,Melbourne - Inner
12,20602111001,Y23H5220441,Y23H5220441P05,Female,15,1,2,4,11075,Fully Owned,3,Weekend,No, ,2,No Study,No Study,Retired,Retired,2743.4856518938,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,,,,Melbourne - Inner
13,21203130452,Y23H5230113,Y23H5230113P03,Female,12,0,2,2,900,Being Purchased,1,Weekend,No, ,2,No Study,No Study,Retired,Full-time Work,913.008187681565,Greater Melbourne,Vehicle,Vehicle Driver,Vehicle Driver, ,,,,Melbourne - South East
14,21203155801,Y23H5230127,Y23H5230127P04,Male,10,0,2,2,2098,Being Rented,1,Weekend,No, ,2,No Study,.,Casual Work,.,271.543267360235,Greater Melbourne, , ,Walking,Vehicle Passenger,,,,Melbourne - South East
15,21203155801,Y23H5230127,Y23H5230127P03,Male,16,3,2,2,2098,Being Rented,1,Weekend,Yes,Work Related,2,No Study,.,Casual Work,.,271.543267360235,Greater Melbourne, , ,Walking,Vehicle Passenger,122.0,10.0,29.52766,Melbourne - South East
16,21203155801,Y23H5230127,Y23H5230127P02,Male,17,0,2,2,2098,Being Rented,1,Weekend,No, ,2,No Study,.,Casual Work,.,271.543267360235,Greater Melbourne, , ,Walking,Vehicle Passenger,,,,Melbourne - South East
17,20605151318,Y23H5230321,Y23H5230321P02,Male,17,3,2,1,2500,Being Rented,1,Weekend,No,Recreational,2,No Study,.,Full-time Work,.,15034.7917527089,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,135.0,0.0,90.09546,Melbourne - Inner
18,20605112825,Y23H5230331,Y23H5230331P03,Female,13,5,2,1,6000,Being Rented,1,Weekday,No,Education,2,No Study,No Study,Full-time Work,Full-time Work,5362.2668031811,Greater Melbourne,Walking,Walking,Walking,Walking,24.0,0.0,5.83734,Melbourne - Inner
19,20605112825,Y23H5230340,Y23H5230340P03,Female,9,4,2,1,7000,Being Rented,1,Weekday,No,Recreational,2,No Study,No Study,Full-time Work,Full-time Work,5362.2668031811,Greater Melbourne,Walking,Walking,Vehicle Driver,Vehicle Driver,43.0,0.0,9.44215,Melbourne - Inner
20,21004154116,Y23H5230542,Y23H5230542P05,Male,11,1,2,3,225,Being Purchased,3,Weekend,No,Buy Something,2,No Study,No Study,Full-time Work,Full-time Work,290.165995311532,Greater Melbourne,Vehicle Passenger,Vehicle Passenger,Vehicle Passenger,Vehicle Passenger,31.0,0.0,12.15099,Melbourne - North West
21,21402137709,Y23H5240110,Y23H5240110P04,Male,10,3,2,2,5125,Being Purchased,0,Weekday,No,Education,2,No Study,No Study,Full-time Work,Part-time Work,1.58350877953164,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,18.0,0.0,11.88153,Mornington Peninsula
22,21402137709,Y23H5240110,Y23H5240110P03,Male,12,3,2,2,5125,Being Purchased,0,Weekday,No,Education,2,No Study,No Study,Full-time Work,Part-time Work,1.58350877953164,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,18.0,0.0,11.88153,Mornington Peninsula
23,21402137709,Y23H5240113,Y23H5240113P04,Female,13,3,2,2,2775,Being Purchased,1,Weekend,No,Buy Something,2,No Study,No Study,Full-time Work,Part-time Work,1.58350877953164,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,39.0,0.0,29.91778,Mornington Peninsula
24,21402137709,Y23H5240113,Y23H5240113P03,Male,15,4,2,2,2775,Being Purchased,1,Weekend,No,Social,2,No Study,No Study,Full-time Work,Part-time Work,1.58350877953164,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,26.0,0.0,9.36834,Mornington Peninsula
25,20802142608,Y23H5240331,Y23H5240331P03,Male,10,5,2,3,1875,Being Rented,0,Weekday,No,Education,2,No Study,No Study,Full-time Work,Part-time Work,4124.27635299321,Greater Melbourne,Walking,Walking,Vehicle Driver,Vehicle Driver,32.0,0.0,7.00327,Melbourne - Inner South
26,21005144230,Y23H5240434,Y23H5240434P04,Male,17,0,2,2,2350,Fully Owned,1,Weekend,No, ,2,No Study,No Study,Full-time Work,Full-time Work,985.911933746674,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,,,,Melbourne - North West
27,21005144230,Y23H5240437,Y23H5240437P03,Male,13,2,2,1,2500,Being Purchased,1,Weekday,No,Education,2,No Study,No Study,Full-time Work,Full-time Work,985.911933746674,Greater Melbourne,Vehicle Driver,Vehicle Driver,Walking,Walking,25.0,0.0,11.54958,Melbourne - North West
28,21301133923,Y23H5240508,Y23H5240508P03,Male,12,2,2,1,724,Being Rented,0,Weekday,No,Education,2,No Study,.,Full-time Work,.,863.219864966125,Greater Melbourne, ,Vehicle Passenger,Vehicle Passenger,Walking,28.0,0.0,2.03336,Melbourne - West
29,21301133923,Y23H5240508,Y23H5240508P02,Female,15,2,2,1,724,Being Rented,0,Weekday,No,Education,2,No Study,.,Full-time Work,.,863.219864966125,Greater Melbourne, ,Vehicle Passenger,Vehicle Passenger,Walking,46.0,0.0,29.6071,Melbourne - West
30,21202129504,Y23H5250104,Y23H5250104P04,Male,11,2,2,2,2575,Being Rented,2,Weekday,Yes,Education,2,Part-time TAFE/Uni,No Study,Full-time Work,Part-time Work,1226.61432481233,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,132.0,17.0,9.94082,Melbourne - South East
31,21202129504,Y23H5250104,Y23H5250104P03,Female,17,8,2,2,2575,Being Rented,2,Weekday,Yes,Education,2,Part-time TAFE/Uni,No Study,Full-time Work,Part-time Work,1226.61432481233,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,169.0,19.0,48.19598,Melbourne - South East
32,20904152724,Y23H5250401,Y23H5250401P04,Female,15,2,2,2,2100,Being Purchased,2,Weekday,No,Education,2,No Study,No Study,Full-time Work,Part-time Work,797.201484059352,Greater Melbourne,Vehicle Driver,Vehicle Driver, ,Vehicle Passenger,39.0,0.0,2.64718,Melbourne - North East
33,20904152724,Y23H5250412,Y23H5250412P04,Female,15,4,2,2,2850,Being Purchased,2,Weekday,Yes,Pick-up or Drop-off Someone,2,No Study,No Study,Full-time Work,Part-time Work,797.201484059352,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,110.0,15.0,50.59935,Melbourne - North East
34,20904152724,Y23H5250412,Y23H5250412P03,Male,17,4,2,2,2850,Being Purchased,2,Weekday,No,Education,2,No Study,No Study,Full-time Work,Part-time Work,797.201484059352,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,52.0,0.0,13.21982,Melbourne - North East
35,20904152724,Y23H5250419,Y23H5250419P03,Female,11,4,2,1,2225,Fully Owned,1,Weekday,No,Education,2,No Study,No Study,Full-time Work,Part-time Work,797.201484059352,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,11.0,0.0,3.80126,Melbourne - North East
36,20904152725,Y23H5250430,Y23H5250430P05,Male,15,3,2,3,3550,Being Purchased,0,Weekday,No,Education,2,No Study,No Study,Unemployed,Full-time Work,807.527926275826,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,30.0,0.0,18.12744,Melbourne - North East
37,20904152725,Y23H5250430,Y23H5250430P04,Female,17,3,2,3,3550,Being Purchased,0,Weekday,No,Pick-up or Drop-off Someone,2,No Study,No Study,Unemployed,Full-time Work,807.527926275826,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,30.0,0.0,17.00027,Melbourne - North East
