,HOUSEID,PERSONID,TDTRPNUM,STRTTIME,ENDTIME,TRVLCMIN,TRPMILES,TRPTRANS,VEHID,WHYFROM,LOOP_TRIP,TRPHHVEH,WHODROVE,PUBTRANS,TRIPPURP,DWELTIME,TDWKND,VMT_MILE,WHYTRP1S,TDCASEID,WHYTO,TRAVDAY,HOMEOWN,HHSIZE,HHVEHCNT,HHFAMINC,HHSTATE,HHSTFIPS,TDAYDATE,URBAN,URBANSIZE,URBRUR,GASPRICE,CENSUS_D,CENSUS_R,CDIVMSAR,VEHTYPE,Energy_Consumption,SOC,SIC,Charging_cost,Battery Capacity
0,30003215,1,3,1315,1327,12,9.972,3,1,1,2,1,1,2,HBSOCREC,114,1,9.972,50,300032150103,15,1,2,1,1,3,DE,10,201609,1,5,1,234.2,5,3,51,1,901.9441561159268,0.9702166561576,0.0,15.348932341666668,486000000.0
1,30003215,1,4,1521,1547,26,2.817,3,1,15,2,1,1,2,HBSOCREC,115,1,2.817,1,300032150104,1,1,2,1,1,3,DE,10,201609,1,5,1,234.2,5,3,51,1,901.9441561159268,0.9618031303248643,0.0,15.348932341666668,486000000.0
2,30003215,1,5,1742,1805,23,6.97,3,1,1,2,1,1,2,HBSHOP,37,1,6.97,40,300032150105,11,1,2,1,1,3,DE,10,201609,1,5,1,234.2,5,3,51,1,901.9441561159268,0.9409858512854012,0.0,15.348932341666668,486000000.0
3,30003215,1,6,1842,1850,8,0.693,3,1,11,2,1,1,2,NHB,27,1,0.693,40,300032150106,11,1,2,1,1,3,DE,10,201609,1,5,1,234.2,5,3,51,1,901.9441561159268,0.9389160701699998,0.0,15.348932341666668,486000000.0
4,30003215,1,7,1917,1920,3,0.259,3,1,11,2,1,1,2,NHB,6,1,0.259,80,300032150107,13,1,2,1,1,3,DE,10,201609,1,5,1,234.2,5,3,51,1,901.9441561159268,0.9381425156117184,0.0,15.348932341666668,486000000.0
5,30003215,1,8,1926,1939,13,6.48,3,1,13,2,1,1,2,HBSHOP,31,1,6.48,1,300032150108,1,1,2,1,1,3,DE,10,201609,1,5,1,234.2,5,3,51,1,901.9441561159268,0.9187887181690036,0.0,15.348932341666668,486000000.0
6,30003215,1,3,1315,1327,12,9.972,3,1,1,2,1,1,2,HBSOCREC,114,1,9.972,50,300032150103,15,1,2,1,1,3,DE,10,201609,1,5,1,234.2,5,3,51,1,901.9441561159268,0.8890053743266038,0.0,15.348932341666668,486000000.0
7,30003215,1,4,1521,1547,26,2.817,3,1,15,2,1,1,2,HBSOCREC,115,1,2.817,1,300032150104,1,1,2,1,1,3,DE,10,201609,1,5,1,234.2,5,3,51,1,901.9441561159268,0.8805918484938681,0.0,15.348932341666668,486000000.0
8,30003215,1,5,1742,1805,23,6.97,3,1,1,2,1,1,2,HBSHOP,37,1,6.97,40,300032150105,11,1,2,1,1,3,DE,10,201609,1,5,1,234.2,5,3,51,1,901.9441561159268,0.8597745694544048,0.0,15.348932341666668,486000000.0
9,30003215,1,6,1842,1850,8,0.693,3,1,11,2,1,1,2,NHB,27,1,0.693,40,300032150106,11,1,2,1,1,3,DE,10,201609,1,5,1,234.2,5,3,51,1,901.9441561159268,0.8577047883390033,0.0,15.348932341666668,486000000.0
10,30003215,1,7,1917,1920,3,0.259,3,1,11,2,1,1,2,NHB,6,1,0.259,80,300032150107,13,1,2,1,1,3,DE,10,201609,1,5,1,234.2,5,3,51,1,901.9441561159268,0.8569312337807221,0.0,15.348932341666668,486000000.0
11,30003215,1,8,1926,1939,13,6.48,3,1,13,2,1,1,2,HBSHOP,31,1,6.48,1,300032150108,1,1,2,1,1,3,DE,10,201609,1,5,1,234.2,5,3,51,1,901.9441561159268,0.8375774363380073,0.0,15.348932341666668,486000000.0
12,30003215,1,3,1315,1327,12,9.972,3,1,1,2,1,1,2,HBSOCREC,114,1,9.972,50,300032150103,15,1,2,1,1,3,DE,10,201609,1,5,1,234.2,5,3,51,1,901.9441561159268,0.8077940924956074,0.0,15.348932341666668,486000000.0
13,30003215,1,4,1521,1547,26,2.817,3,1,15,2,1,1,2,HBSOCREC,115,1,2.817,1,300032150104,1,1,2,1,1,3,DE,10,201609,1,5,1,234.2,5,3,51,1,901.9441561159268,0.7993805666628717,0.0,15.348932341666668,486000000.0
14,30003215,1,5,1742,1805,23,6.97,3,1,1,2,1,1,2,HBSHOP,37,1,6.97,40,300032150105,11,1,2,1,1,3,DE,10,201609,1,5,1,234.2,5,3,51,1,901.9441561159268,0.7785632876234084,0.0,15.348932341666668,486000000.0
15,30003215,1,6,1842,1850,8,0.693,3,1,11,2,1,1,2,NHB,27,1,0.693,40,300032150106,11,1,2,1,1,3,DE,10,201609,1,5,1,234.2,5,3,51,1,901.9441561159268,0.776493506508007,0.0,15.348932341666668,486000000.0
16,30003215,1,7,1917,1920,3,0.259,3,1,11,2,1,1,2,NHB,6,1,0.259,80,300032150107,13,1,2,1,1,3,DE,10,201609,1,5,1,234.2,5,3,51,1,901.9441561159268,0.7757199519497257,0.0,15.348932341666668,486000000.0
17,30003215,1,8,1926,1939,13,6.48,3,1,13,2,1,1,2,HBSHOP,31,1,6.48,1,300032150108,1,1,2,1,1,3,DE,10,201609,1,5,1,234.2,5,3,51,1,901.9441561159268,0.756366154507011,0.0,15.348932341666668,486000000.0
18,30003215,1,3,1315,1327,12,9.972,3,1,1,2,1,1,2,HBSOCREC,114,1,9.972,50,300032150103,15,1,2,1,1,3,DE,10,201609,1,5,1,234.2,5,3,51,1,901.9441561159268,0.7265828106646111,0.0,15.348932341666668,486000000.0
19,30003215,1,4,1521,1547,26,2.817,3,1,15,2,1,1,2,HBSOCREC,115,1,2.817,1,300032150104,1,1,2,1,1,3,DE,10,201609,1,5,1,234.2,5,3,51,1,901.9441561159268,0.8047742231034803,0.0,15.348932341666668,486000000.0
20,30003215,1,5,1742,1805,23,6.97,3,1,1,2,1,1,2,HBSHOP,37,1,6.97,40,300032150105,11,1,2,1,1,3,DE,10,201609,1,5,1,234.2,5,3,51,1,901.9441561159268,0.7839569440640171,0.0,15.348932341666668,486000000.0
